request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_47,38114000,affordable_with_plan,installments,2025-05-05:38114000,2025-05-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_49,20228793.34,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_51,2191000,affordable_with_plan,installments,2026-01-03:2191000,2026-01-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_52,28870,affordable_with_plan,installments,2024-06-05:28870,2024-06-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_53,1423.42,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_54,16581.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_55,176241.19,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_56,881.56,affordable_with_plan,installments,2025-02-03:881.56,2025-02-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_57,21214.6,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_59,140600,affordable_with_plan,installments,2025-05-04:140600,2025-05-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_61,29062,affordable_with_plan,installments,2024-03-03:29062,2024-03-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_63,90145,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_64,60233.01,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_65,13024,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_67,792.54,affordable_later,wait,2024-09-15:2094,2024-09-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_68,2091.6,affordable_with_plan,installments,2025-02-07:2091.6,2025-02-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_69,529.1,affordable_with_plan,installments,2026-01-04:529.1,2026-01-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_70,93360,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_71,7485050,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_73,71400,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_75,28270,affordable_with_plan,installments,2026-04-06:28270,2026-04-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_76,1538.8,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08|2024-09-15:1047.52,2024-09-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_80,152115,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_82,1011.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_83,28330,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_84,56565,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_85,2422120,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_86,46300,affordable_with_plan,installments,2025-08-03:46300,2025-08-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_87,92850,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_88,15557.89,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_89,13756000,affordable_with_plan,installments,2025-11-04:13756000,2025-11-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_91,1927.2,affordable_with_plan,installments,2024-09-03:1927.2,2024-09-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_93,1729.2,affordable_with_plan,installments,2026-04-07:1729.2,2026-04-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_95,137865,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_96,90200,affordable_with_plan,installments,2026-01-03:90200,2026-01-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_98,17244.7,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_100,34836.13,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_101,143500,affordable_with_plan,installments,2025-11-03:143500,2025-11-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_102,1716,affordable_with_plan,installments,2026-04-05:1716,2026-04-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_103,35759,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_104,17204,affordable_with_plan,installments,2025-02-04:17204,2025-02-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_105,53500,affordable_with_plan,installments,2026-06-08:53500,2026-06-08,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_106,1401.7,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_107,2534.4,affordable_with_plan,installments,2025-05-05:2534.4,2025-05-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_108,7836.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_110,22352,affordable_with_plan,installments,2025-08-06:22352,2025-08-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_111,16625000,affordable_with_plan,installments,2026-04-03:16625000,2026-04-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_113,36500,affordable_with_plan,installments,2026-09-04:36500,2026-09-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_115,27135,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_116,58075,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_118,738.1,affordable_with_plan,installments,2024-12-07:738.1,2024-12-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_119,130901.01,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_122,20558000,affordable_with_plan,installments,2025-08-05:20558000,2025-08-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_124,2049.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_126,159600,affordable_with_plan,installments,2026-07-03:159600,2026-07-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_127,23980,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_129,288,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_130,917.46,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_131,1855.2,affordable_with_plan,installments,2025-05-03:1855.2,2025-05-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_134,12118200,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_135,304.8,affordable_with_plan,installments,2026-07-06:304.8,2026-07-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_137,67960,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_138,1209.9,affordable_with_plan,installments,2026-04-12:333.09|2026-05-12:333.09|2026-06-11:333.09|2026-07-11:333.09,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_139,2185.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_140,11074.8,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_141,51435,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_143,8384.2,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_145,105613.66,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_146,81465,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_147,741.53,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_148,13181.08,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_149,36652,affordable_with_plan,installments,2025-11-04:36652,2025-11-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_150,496.1,affordable_with_plan,installments,2026-01-06:496.1,2026-01-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_152,13882,affordable_with_plan,installments,2025-02-05:13882,2025-02-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_153,503.6,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:1625.8,2024-12-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_156,13588.3,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_157,10091850,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_158,242600,affordable_with_plan,installments,2025-08-07:242600,2025-08-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_160,857.61,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_161,17241550,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_162,8601300,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_163,19304000,affordable_with_plan,installments,2024-09-07:19304000,2024-09-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_164,27018000,affordable_with_plan,installments,2025-02-04:27018000,2025-02-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:2907.6,2024-12-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_167,43802,affordable_with_plan,installments,2025-05-05:43802,2025-05-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_168,49380,not_affordable,not_recommended,none,2026-01-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_170,36936000,affordable_with_plan,installments,2025-08-06:36936000,2025-08-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_171,310.65,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_172,10200,affordable_with_plan,installments,2024-06-05:10200,2024-06-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_173,83190.53,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:1146.2,2026-04-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_176,686.95,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:2938.1,2024-12-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_179,37957250,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_180,66500,affordable_with_plan,installments,2026-07-06:66500,2026-07-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_181,1141,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_183,26866000,affordable_with_plan,installments,2026-04-07:26866000,2026-04-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_184,47540,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_185,783.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_186,22863.5,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_187,67435,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_188,585.3,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_190,1555.8,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_191,664.4,affordable_with_plan,installments,2025-05-03:664.4,2025-05-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_192,384.8,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_193,310.62,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_194,95030,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_195,1170.4,affordable_with_plan,installments,2026-01-06:1170.4,2026-01-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_197,50939000,affordable_with_plan,installments,2025-11-05:50939000,2025-11-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_199,23674000,affordable_with_plan,installments,2024-09-04:23674000,2024-09-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_201,23997000,affordable_with_plan,installments,2026-04-03:23997000,2026-04-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_203,1442.1,affordable_with_plan,installments,2025-05-07:1442.1,2025-05-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_204,588.74,affordable_with_plan,installments,2026-01-04:588.74,2026-01-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:1404.7,2025-08-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_207,11830,affordable_with_plan,installments,2026-07-05:11830,2026-07-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_209,8625.1,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_210,1360.02,affordable_with_plan,installments,2026-04-06:1360.02,2026-04-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_211,1227.89,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_212,22344000,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_213,3362.4,affordable_with_plan,installments,2026-01-07:3362.4,2026-01-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_214,69750,affordable_with_plan,installments,2024-12-04:69750,2024-12-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_215,29986,affordable_with_plan,installments,2025-05-06:29986,2025-05-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_216,1166.8,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_219,1673.1,affordable_with_plan,installments,2026-04-04:1673.1,2026-04-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_220,307.32,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_224,10327000,affordable_with_plan,installments,2025-02-04:10327000,2025-02-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_225,18120459.6,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_227,42755,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_228,10557350,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_229,727.52,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_231,35706,affordable_with_plan,installments,2026-01-03:35706,2026-01-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_232,1869.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_233,6241000,affordable_with_plan,installments,2025-11-07:6241000,2025-11-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_234,528.6,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_235,967.2,affordable_with_plan,installments,2024-09-06:967.2,2024-09-06,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_236,14404850,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_238,663.6,affordable_with_plan,installments,2024-12-07:663.6,2024-12-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_239,642,affordable_with_plan,installments,2025-05-04:642,2025-05-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_240,37400,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_241,21052000,affordable_with_plan,installments,2024-03-03:21052000,2024-03-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_242,369.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_244,49918,affordable_with_plan,installments,2024-06-04:49918,2024-06-04,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_245,65760,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_246,64086,affordable_with_plan,installments,2026-04-03:64086,2026-04-03,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_248,1507.36,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_249,342.4,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
request_250,28820,not_affordable,not_recommended,none,,none,The recommendation was determined based on your projected 90-day cash flow and preferences.
